serviceId,serviceName,serviceDesc,cost
service10000,MyService1,descripcion1,500
service10001,MyService2,descripcion2,200
service10002,MyService3,descripcion3,200
service10003,MyService4,descripcion4,1000
service10004,MyService5,descripcion5,199
service10005,MyService6,descripcion6,200
service10006,MyService7,descripcion7,100
service10007,MyService8,descripcion8,50
service10008,MyService9,descripcion9,20
service10009,MyService10,descripcion10,10
service10010,MyService11,descripcion11,3300
